Имя пользователя,Ссылка,Время,Текст,Хэштеги
Bentli,@Bentli39669689,21 апр. 2020 г.,"Дыма без огня не бывает.На Рация 6 Сентября 2019 г. в НОВОСИБИРСКЕ  лаболатории разработки COVID 19 произошол взрыв,в то время была там делегация с Китая города Ухань.100 % этот вирус произошол с на РАЦИЯ да же к маме не ходи.",
Kratko-News.com,@kratkonewscom,21 апр. 2020 г.,21/04/2020 Губернатор Севастополя обнародовал ужасающий вид легких первого зараженного COVID-19 Краткие новости https://kratko-news.com/2020/04/21/gubernator-sevastopolya-obnarodoval-uzhasayushhij-vid-legkix-pervogo-zarazhennogo-covid-19/…,
Известия,@izvestia_ru,21 апр. 2020 г.,,
Говорящие новости,@NSN_fm,21 апр. 2020 г.,"В России упростили беспошлинный ввоз на медицинские товары, предназначенные для борьбы с коронавирусом COVID-19",
KOLYMAWEB,@kolymaweb,21 апр. 2020 г.,Компания «Полюс» продолжает реализовывать мероприятия для предотвращения распространения COVID-19 на территории Магаданской области,
Медоед,@arhaim1,21 апр. 2020 г.,В ответ ,
Dr. Elena Mikhailova,@ElenaMikhailova,21 апр. 2020 г.,"В Канаде ищут доноров плазмы переболевших #COVID19 , сообщает ",#covid #covid19
Баба Яга Сергеевна,@YuliaRakov,21 апр. 2020 г.,В ответ ,
КАТЕРИНА,@C5eGZBiicZ3xe4g,21 апр. 2020 г.,"Меркель опасается, что граждане ФРГ перестанут выполнять требования властей по COVID-19 https://polit.info/492976-merkel-opasaetsya-chto-grazhdane-frg-perestanut-vypolnyat-trebovaniya-vlastei-po-covid-19?utm_medium=email&utm_source=UniSender&utm_campaign=231840781#.Xp4jtewpU7k.twitter…",
Левон Гнуни,@levongnuni1,21 апр. 2020 г.,Немецкие ученые о COVID-19. Крематории в  Китае. https://youtu.be/10mR_5qXCYU с помощью ,
Горячая линия ДНР,@HotlineDNR,21 апр. 2020 г.,РФ доставила из КНР в Молдавию медоборудование для борьбы с COVID-19,
Сатико,@ksatico,21 апр. 2020 г.,Итоги 19 и 20 апреля,
Maks Довгер,@NonoOndajoven,21 апр. 2020 г.,В России клинические испытания вакцины от COVID-19 начнут в июне,
КАТЕРИНА,@C5eGZBiicZ3xe4g,21 апр. 2020 г.,Глава Минздрава РФ высоко оценил эффективность самоизоляции на фоне COVID-19 https://polit.info/492965-glava-minzdrava-rf-vysoko-ocenil-effektivnost-samoizolyacii-na-fone-covid-19?utm_medium=email&utm_source=UniSender&utm_campaign=231840781#.Xp4jRNwFsK4.twitter…,
марта янич,@1015_ast,21 апр. 2020 г.,Блокбастер мирового закулисья: «Тесты на COVID-19 оказались заражены!»,
real Anarchist,@veganarch,21 апр. 2020 г.,В ответ ,
otto UKROP,@OttoHammond,21 апр. 2020 г.,Врач из Израиля назвал главную причину заражения медиков COVID-19 •  #Україна  http://antikor.com.ua/articles/374584-vrach_iz_izrailja_nazval_glavnuju_prichinu_zarahenija_medikov_covid-19…,
